date,miles
5-Jan,5.00
11-Jan,4.00
18-Jan,4.00
19-Jan,5.00
26-Jan,3.22
1-Feb,3.60
17-Feb,5.28
22-Feb,5.01
8-Mar,5.00
16-Mar,3.58
20-Mar,5.00
21-Mar,4.10
24-Mar,5.00
27-Mar,5.00
1-Apr,5.00
4-Apr,5.00
6-Apr,5.20
8-Apr,4.94
11-Apr,4.84
14-Apr,6.80
16-Apr,3.73
19-Apr,3.34
22-Apr,3.58
28-Apr,3.43
30-Apr,3.00
2-May,5.13
3-May,3.50
6-May,3.58
7-May,3.52
9-May,3.85
10-May,5.00
31-May,4.01
3-Jun,3.01
6-Jun,4.00
9-Jun,4.50
10-Jun,3.39
12-Jun,4.84
13-Jun,3.01
14-Jun,4.00
17-Jun,4.50
19-Jun,3.25
20-Jun,4.51
23-Jun,3.23
25-Jun,3.24
28-Jun,4.00
29-Jun,3.29
30-Jun,3.07
2-Jul,3.01
4-Jul,3.55
5-Jul,4.12
9-Jul,4.55
11-Jul,3.67
16-Jul,3.87
17-Jul,3.21
20-Jul,3.25
21-Jul,3.21
23-Jul,3.00
25-Jul,2.97
28-Jul,3.00
30-Jul,3.00
5-Aug,3.00
8-Aug,3.00
14-Aug,3.00
17-Aug,3.00
18-Aug,3.00
20-Aug,3.01
25-Aug,3.26
26-Aug,3.00
28-Aug,4.50
1-Sep,3.00
2-Sep,3.00
3-Sep,3.00
11-Sep,3.00
13-Sep,4.50
21-Sep,3.86
23-Sep,3.05
25-Sep,3.00
25-Sep,4.00
7-Oct,3.01
8-Oct,3.00
9-Oct,3.00
11-Oct,4.00
15-Oct,3.00
16-Oct,3.12
20-Oct,3.00
21-Oct,3.00
23-Oct,4.40
26-Oct,4.07
27-Oct,4.10
28-Oct,4.26
3-Nov,3.96
4-Nov,3.97
5-Nov,3.07
11-Nov,3.08
19-Nov,3.00
20-Nov,3.01
21-Nov,5.01
24-Nov,3.00
26-Nov,3.00
1-Dec,3.01
2-Dec,3.45